              precision    recall  f1-score   support

           0       0.58      0.58      0.58      1000
           1       0.54      0.59      0.56      1000
           2       0.41      0.43      0.42      1000
           3       0.44      0.32      0.37      1000
           4       0.50      0.53      0.51      1000
           5       0.57      0.42      0.48      1000
           6       0.57      0.61      0.59      1000
           7       0.56      0.58      0.57      1000
           8       0.63      0.64      0.63      1000
           9       0.49      0.59      0.53      1000

    accuracy                           0.53     10000
   macro avg       0.53      0.53      0.53     10000
weighted avg       0.53      0.53      0.53     10000
